Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,89369	0,04045	0,894605	2,59152	-0,000871	3,19878
79433,6	0,905043	0,011508	0,905117	0,728531	-0,00069	3,19876
63105,5	0,916796	-0,013626	0,916897	-0,851533	-0,000568	3,1988
50123,7	0,929829	-0,034813	0,93048	-2,14419	-0,000441	3,19879
39811,2	0,943484	-0,052702	0,944954	-3,19715	-0,000337	3,19879
31634,1	0,95878	-0,068207	0,9612	-4,06915	-0,000217	3,19875
25123,7	0,97474	-0,081556	0,97815	-4,78276	-0,000201	3,19879
19954,4	0,99167	-0,092906	0,99601	-5,35222	-0,000141	3,19879
15852,9	1,00917	-0,103056	1,01442	-5,83077	-8,68E-05	3,19875
12587,2	1,02723	-0,112093	1,03332	-6,22757	-7,16E-05	3,19877
9998,2	1,04618	-0,120475	1,05309	-6,5691	-5,02E-05	3,19876
7942,6	1,06591	-0,128026	1,07357	-6,84898	-2,70E-05	3,19876
6311,1	1,08615	-0,135273	1,09454	-7,09927	-1,08E-05	3,19876
5011,18	1,10686	-0,142495	1,11599	-7,33583	6,09E-06	3,19876
3980,93	1,12871	-0,149367	1,13855	-7,53838	4,25E-06	3,19878
3162,67	1,15099	-0,156492	1,16158	-7,74266	1,04E-05	3,19877
2511,16	1,17449	-0,163474	1,18581	-7,92392	3,75E-05	3,19876
1995,37	1,19874	-0,170411	1,21079	-8,0909	4,57E-05	3,19876
1584,49	1,22422	-0,177902	1,23707	-8,26831	5,17E-05	3,19876
1259,04	1,25039	-0,185216	1,26403	-8,42574	5,63E-05	3,19876
999,95	1,27768	-0,192672	1,29212	-8,57549	6,09E-05	3,19876
794,163	1,30667	-0,200976	1,32204	-8,74398	6,01E-05	3,19876
630,984	1,33603	-0,208356	1,35218	-8,86398	6,36E-05	3,19876
501,303	1,36622	-0,215009	1,38304	-8,94356	6,49E-05	3,19873
398,209	1,39784	-0,22312	1,41554	-9,0689	6,57E-05	3,19873
316,113	1,42991	-0,231596	1,44855	-9,20002	6,68E-05	3,19872
251,185	1,46271	-0,241022	1,48244	-9,35695	6,97E-05	3,19873
199,495	1,49636	-0,251459	1,51735	-9,5392	7,24E-05	3,19874
158,533	1,53133	-0,263463	1,55383	-9,7621	7,16E-05	3,19873
125,911	1,56822	-0,277058	1,59251	-10,0191	6,98E-05	3,19873
100,009	1,60746	-0,291948	1,63376	-10,2939	7,03E-05	3,19873
79,4083	1,64979	-0,307854	1,67826	-10,57	7,23E-05	3,19873
63,0971	1,69469	-0,324569	1,72549	-10,8421	7,19E-05	3,19873
50,0083	1,74284	-0,341411	1,77597	-11,0835	7,14E-05	3,19873
40,0059	1,79077	-0,357973	1,8262	-11,3044	7,21E-05	3,19873
31,5793	1,8448	-0,376675	1,88286	-11,5402	7,46E-05	3,19873
24,9911	1,90072	-0,396582	1,94165	-11,7856	6,76E-05	3,19872
20,0011	1,95781	-0,417122	2,00175	-12,0274	6,85E-05	3,19872
15,7934	2,02393	-0,440064	2,07122	-12,2669	7,01E-05	3,19873
12,5002	2,09639	-0,462055	2,14671	-12,4295	6,53E-05	3,19872
9,9987	2,17288	-0,480293	2,22533	-12,4642	6,31E-05	3,19872
7,89389	2,2597	-0,493537	2,31297	-12,3204	6,29E-05	3,19873
6,31623	2,34698	-0,497631	2,39915	-11,9712	6,65E-05	3,19873
4,99748	2,43781	-0,492396	2,48704	-11,4192	5,79E-05	3,19873
3,97302	2,52319	-0,477126	2,56791	-10,708	5,33E-05	3,19873
3,15718	2,60211	-0,454624	2,64153	-9,9103	6,04E-05	3,19872
2,51085	2,67543	-0,430582	2,70985	-9,14275	2,38E-05	3,19877
1,99489	2,73496	-0,397373	2,76368	-8,26686	2,16E-05	3,19877
1,58325	2,78661	-0,369917	2,81105	-7,5617	2,09E-05	3,19877
1,25729	2,83172	-0,346549	2,85284	-6,97724	1,79E-05	3,19878
1,00006	2,87205	-0,327808	2,8907	-6,5114	0,00018	3,19884
0,794599	2,90433	-0,316748	2,92155	-6,22411	0,000164	3,19885
0,631058	2,93371	-0,31091	2,95014	-6,04954	0,000161	3,19885
0,501187	2,96087	-0,312973	2,97736	-6,03395	0,000156	3,19886
0,398272	2,98622	-0,32358	3,0037	-6,18432	0,000156	3,19885
0,316296	3,01113	-0,343615	3,03067	-6,51015	0,000157	3,19885
0,251206	3,03566	-0,374106	3,05862	-7,02554	0,000156	3,19886
0,199461	3,05977	-0,416751	3,08802	-7,75617	0,000157	3,19884
0,158526	3,08505	-0,473515	3,12118	-8,72607	0,00015	3,19886
0,125872	3,11104	-0,547295	3,15881	-9,9774	0,000144	3,19887
0,099994	3,13919	-0,641466	3,20406	-11,5489	0,000139	3,19886
0,079449	3,16871	-0,759927	3,25856	-13,4861	0,000131	3,19886
0,063103	3,2014	-0,908909	3,32792	-15,8498	0,000123	3,19885
0,050134	3,23834	-1,09434	3,41825	-18,6718	0,000117	3,19887
0,039809	3,2805	-1,32526	3,53808	-21,9978	0,000111	3,19886
0,031626	3,32926	-1,6112	3,69864	-25,8247	0,000106	3,19887
0,025116	3,39217	-1,96867	3,92205	-30,129	0,000107	3,19888
0,019954	3,4685	-2,40796	4,22241	-34,7697	0,000105	3,19888
