"Freq"	"predicted_Idc"	"predicted_Zphz"
100007	-0.000836844267025934	2.81885686201652
79433.6	-0.000777842261997114	0.887674377203566
63105.5	-0.000636316946340924	-0.611082883332465
50123.7	-0.000476856222618356	-2.45099079136129
39811.2	-0.000362062013638687	-3.04195809184142
31634.1	-0.000275923032257087	-3.9450405399353
25123.7	-0.000195414535434633	-4.82660520761159
19954.4	-0.000127802192254635	-5.340594583108
15852.9	-0.000111102456232885	-5.76977307510928
12587.2	-8.05343027849585e-05	-6.28499284440345
9998.2	-5.49165564528905e-05	-6.41629417779373
7942.6	-2.9357988672542e-05	-6.79294247526508
6311.1	-1.88002601380188e-05	-7.10340951875297
5011.18	-8.00847365296776e-06	-7.38666707289725
3980.93	1.92505340004861e-06	-7.45663464834685
3162.67	1.92481002454152e-05	-7.86757875145665
2511.16	2.96305415827092e-05	-7.90203878035192
1995.37	3.94602658346706e-05	-8.13211738492095
1584.49	4.36881787557746e-05	-8.39666157297322
1259.04	4.71939721916116e-05	-8.48199134377593
999.95	5.19791287501426e-05	-8.58715413669325
794.163	5.62393992070601e-05	-8.65845742644822
630.984	6.02878537044022e-05	-8.63067389468835
501.303	5.88891093048875e-05	-9.07424494833628
398.209	6.13642626046287e-05	-9.28992299719788
316.113	6.24111475908625e-05	-9.32469369927541
251.185	6.79367832539623e-05	-9.45217606239113
199.495	7.09840557699625e-05	-9.49628360314398
158.533	6.90622820313339e-05	-9.9739798732854
125.911	6.80707048822136e-05	-10.0758757705945
100.009	6.73586487599981e-05	-10.4444735068834
79.4083	6.68720130497713e-05	-10.5556697575525
63.0971	6.66743063739412e-05	-11.0096539444359
50.0083	6.59161072923554e-05	-11.1193312484168
40.0059	6.55307657298102e-05	-11.2947734915548
31.5793	6.54234342873062e-05	-11.6812122345476
24.9911	6.15451881648712e-05	-11.8330030248177
20.0011	6.04651003028179e-05	-12.2299913444747
15.7934	6.17768562083988e-05	-12.4101180951224
12.5002	5.88812700496546e-05	-12.5375883903073
9.9987	5.7176283162045e-05	-12.6143174509547
7.89389	5.64676109172141e-05	-12.5784566830357
6.31623	5.52270847942681e-05	-11.697238299518
4.99748	5.15350391629814e-05	-11.2982219952357
3.97302	5.1491959430515e-05	-10.8827403546536
3.15718	5.00444911916097e-05	-10.0129773898587
2.51085	5.97846742406334e-05	-9.21935999662208
1.99489	6.00881907194128e-05	-8.18819546401306
1.58325	6.62956106166609e-05	-7.45501521376776
1.25729	7.95130362072347e-05	-6.60119989614186
1.00006	0.000161806530961453	-6.49519812676511
0.794599	0.00016254420152602	-6.45402478450567
0.631058	0.000157050861159435	-6.09072859971594
0.501187	0.000155599692715381	-6.34286792882642
0.398272	0.000157315110750565	-6.06800924925683
0.316296	0.00015653731357152	-6.42477933021633
0.251206	0.00015537570502096	-7.04983260329537
0.199461	0.000158369212183543	-6.9100304109692
0.158526	0.000152410287810444	-8.36036074903729
0.125872	0.00014371986086069	-10.4667284058913
0.099994	0.000148687664641395	-11.6266540233776
0.079449	0.000145130082605861	-13.7194983856859
0.063103	0.000143723428972505	-16.057525399237
0.050134	0.000133302042347863	-19.0119495593127
0.039809	0.000142012978622832	-19.0285147495374
0.031626	0.000131557899781048	-26.1686012202627
0.025116	0.0001325369617394	-30.7834189467599
0.019954	0.000132725751596341	-30.0409854339135
100007	-0.000741567801295694	2.70385567015111
79433.6	-0.00071308481203466	0.74037184882222
63105.5	-0.000693220188464612	-0.717732208150694
50123.7	-0.0005665455609651	-2.47199002507619
39811.2	-0.000482268837668654	-3.3307117956063
31634.1	-0.000403868261820822	-4.08049563586856
25123.7	-0.000339221260598733	-4.98762657213878
19954.4	-0.000268350345885797	-5.38697800468607
15852.9	-0.000251010755384957	-6.10183407091714
12587.2	-0.000237497485398236	-6.14485498484359
9998.2	-0.000227530337995227	-6.6290250163608
7942.6	-0.000198703186725138	-6.8892437630313
6311.1	-0.000169005124937807	-7.16636656012722
5011.18	-0.000152840041780588	-7.45155116688105
3980.93	-0.000130311105700409	-7.65949026649406
3162.67	-0.000110009339021784	-7.75479469958541
2511.16	-9.12211662059822e-05	-8.09852437618811
1995.37	-7.92451238478011e-05	-8.26806867824754
1584.49	-6.52135161791288e-05	-8.52864033063621
1259.04	-5.62367039003569e-05	-8.61697694976211
999.95	-4.59788016795857e-05	-8.71770776394569
794.163	-3.70828620699871e-05	-8.78901079868145
630.984	-3.16019387705769e-05	-8.76122726692159
501.303	-3.17220147361944e-05	-8.97639236538603
398.209	-2.60732806459047e-05	-9.07116642719554
316.113	-1.65894559580705e-05	-9.2496327432616
251.185	-1.1643386249534e-05	-9.21270287714368
199.495	-5.62159343620736e-06	-9.28274351388353
158.533	-4.5550778098883e-06	-9.64126085253689
125.911	-3.25420713775861e-06	-9.78561154764259
100.009	-1.72773367567498e-06	-9.89526433006913
79.4083	1.97338212958792e-07	-10.0298649681189
63.0971	9.19278747009101e-07	-10.225222237289
50.0083	1.35896753791774e-06	-10.4242074886522
40.0059	2.42585493581761e-06	-10.4977172480004
31.5793	4.73677386801872e-06	-10.7112437400559
24.9911	5.620874794651e-06	-10.8478460582568
20.0011	6.10797100187477e-06	-11.0733661036741
15.7934	6.19136261810751e-06	-11.1822981906634
12.5002	5.84672704763366e-06	-11.3669415174058
9.9987	6.91515501836361e-06	-11.4393860004189
7.89389	6.78858545498787e-06	-11.3338204134005
6.31623	5.50215932384814e-06	-10.1747776017902
4.99748	3.21345111125605e-06	-9.96878564090368
3.97302	3.23684247754292e-06	-9.34139851099474
3.15718	3.46069584274435e-06	-8.73298598354877
2.51085	2.17489550623499e-05	-7.56951321683114
1.99489	1.04049957979871e-05	-6.55321490444668
1.58325	2.66571369239735e-05	-5.94374400020961
1.25729	2.84777757116656e-05	-5.53994287611671
1.00006	0.000111190921967149	-4.82520314346688
0.794599	0.000112511783682908	-4.54070070647107
0.631058	0.000112624598277959	-4.11993701248669
0.501187	0.000114591296384814	-3.98724908748361
0.398272	0.000115983212752406	-4.05700485480511
0.316296	0.000119021975703245	-4.16670565427126
0.251206	0.00011924205805385	-4.18383078550462
0.199461	0.000122249953548053	-4.40114960553502
0.158526	0.000122040308456986	-5.27618799791339
0.125872	0.000123275157522185	-5.63566954861629
0.099994	0.000123188870770417	-6.41890635007225
0.079449	0.000123159056394476	-7.75298746947334
0.063103	0.000125244909746355	-8.9665652739728
0.050134	0.000113345977476998	-10.9189866196002
0.039809	0.000112764926285389	-12.6149231256709
0.031626	0.00011171646640035	-15.198595332046
0.025116	0.000111863370465373	-17.6184481643861
0.019954	0.000118744878886049	-16.3930694552318
100007	-0.000639055489370613	2.76942717448921
79433.6	-0.00059625056422267	0.551335683346301
63105.5	-0.000537898538646111	-0.893035042388752
50123.7	-0.000428956093997889	-2.51383206092277
39811.2	-0.000382948667253305	-3.4476845668017
31634.1	-0.000335262316449445	-4.39002146064235
25123.7	-0.000289245544121456	-5.09290147878276
19954.4	-0.000235907285538953	-5.66960834611415
15852.9	-0.000224494665506532	-6.12321817191812
12587.2	-0.000195356819934261	-6.52120431513887
9998.2	-0.000191315927569909	-6.90599208429213
