Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,845491	0,031217	0,846067	2,11447	-0,000458	3,79846
79433,6	0,85872	-0,000239	0,85872	-0,015925	-0,000423	3,79846
63105,5	0,872143	-0,026937	0,872559	-1,76906	-0,000305	3,7984
50123,7	0,887189	-0,048873	0,888534	-3,15312	-0,000305	3,79844
39811,2	0,90353	-0,06783	0,906072	-4,29325	-0,000259	3,79844
31634,1	0,920807	-0,08398	0,924629	-5,21111	-0,000182	3,7984
25123,7	0,939542	-0,097772	0,944615	-5,94105	-0,000203	3,79844
19954,4	0,95884	-0,109927	0,96512	-6,54015	-0,00019	3,79845
15852,9	0,97918	-0,120726	0,9866	-7,02867	-0,000167	3,79845
12587,2	0,99999	-0,130234	1,00844	-7,42019	-0,00013	3,79842
9998,2	1,02166	-0,139168	1,0311	-7,75694	-0,000116	3,79842
7942,6	1,04398	-0,147644	1,05436	-8,04966	-0,000098	3,79843
6311,1	1,06693	-0,155518	1,07821	-8,29312	-8,61E-05	3,79843
5011,18	1,09121	-0,163066	1,10333	-8,49914	-7,52E-05	3,79842
3980,93	1,11645	-0,170709	1,12943	-8,69341	-7,66E-05	3,79843
3162,67	1,14209	-0,178352	1,15594	-8,87575	-3,96E-05	3,7984
2511,16	1,16891	-0,185464	1,18353	-9,01559	-4,70E-05	3,79841
1995,37	1,19707	-0,192723	1,21248	-9,1459	-3,80E-05	3,79841
1584,49	1,22589	-0,200459	1,24217	-9,28692	-2,74E-05	3,79842
1259,04	1,2561	-0,207667	1,27315	-9,38764	-2,06E-05	3,79842
999,95	1,28754	-0,214585	1,3053	-9,4621	-1,72E-05	3,79842
794,163	1,32057	-0,220857	1,33891	-9,49447	-1,23E-05	3,79842
630,984	1,35385	-0,228677	1,37303	-9,5873	-7,64E-06	3,79842
501,303	1,3886	-0,23324	1,40805	-9,5348	-1,72E-06	3,79839
398,209	1,42377	-0,238993	1,44369	-9,5288	-1,32E-06	3,79839
316,113	1,45971	-0,244745	1,48009	-9,5181	4,00E-06	3,79839
251,185	1,49606	-0,250422	1,51687	-9,5025	8,40E-06	3,79839
199,495	1,5329	-0,256329	1,55418	-9,49307	1,00E-05	3,79839
158,533	1,57065	-0,262483	1,59243	-9,48746	1,26E-05	3,79839
125,911	1,6092	-0,269258	1,63158	-9,49893	1,41E-05	3,79839
100,009	1,64927	-0,275959	1,67219	-9,49885	1,25E-05	3,79839
79,4083	1,69066	-0,282734	1,71413	-9,49391	1,65E-05	3,79839
63,0971	1,73356	-0,289114	1,7575	-9,46834	1,80E-05	3,79839
50,0083	1,77746	-0,295174	1,8018	-9,42878	1,83E-05	3,79838
40,0059	1,82058	-0,300997	1,8453	-9,3878	2,21E-05	3,79838
31,5793	1,86785	-0,307677	1,89302	-9,35393	2,62E-05	3,79839
24,9911	1,91707	-0,314149	1,94264	-9,30631	2,07E-05	3,79838
20,0011	1,96676	-0,319205	1,9925	-9,21872	2,18E-05	3,79838
15,7934	2,0233	-0,321679	2,04872	-9,03367	2,73E-05	3,79838
12,5002	2,08178	-0,318624	2,10602	-8,70179	2,69E-05	3,79839
9,9987	2,13792	-0,309371	2,16019	-8,23391	2,60E-05	3,79838
7,89389	2,19466	-0,292057	2,21401	-7,58014	2,81E-05	3,79839
6,31623	2,24361	-0,269763	2,25977	-6,85611	3,57E-05	3,79839
4,99748	2,2862	-0,242931	2,29907	-6,06547	2,95E-05	3,79838
3,97302	2,32065	-0,215736	2,33066	-5,31114	3,00E-05	3,79839
3,15718	2,34769	-0,189338	2,35531	-4,61085	3,80E-05	3,79839
2,51085	2,36928	-0,164725	2,375	-3,97711	7,43E-07	3,79844
1,99489	2,38618	-0,143343	2,39048	-3,43775	-3,56E-07	3,79843
1,58325	2,39987	-0,126434	2,4032	-3,01575	2,62E-07	3,79843
1,25729	2,41027	-0,113347	2,41293	-2,69245	6,08E-06	3,79843
1,00006	2,41962	-0,102871	2,42181	-2,43448	0,000095	3,79851
0,794599	2,42782	-0,097531	2,42978	-2,30046	9,05E-05	3,79852
0,631058	2,43519	-0,0929	2,43696	-2,1847	9,26E-05	3,79852
0,501187	2,44177	-0,091918	2,4435	-2,15583	0,000097	3,79852
0,398272	2,44954	-0,093278	2,45132	-2,18077	0,000099	3,79852
0,316296	2,45747	-0,096795	2,45937	-2,2556	0,000103	3,79853
0,251206	2,46566	-0,104042	2,46786	-2,41623	0,000108	3,79853
0,199461	2,47442	-0,113393	2,47701	-2,62381	0,000111	3,79853
0,158526	2,48407	-0,125277	2,48723	-2,88711	0,000119	3,79852
0,125872	2,49535	-0,141359	2,49935	-3,24228	0,000123	3,79852
0,099994	2,5075	-0,161162	2,51267	-3,67746	0,000126	3,79852
0,079449	2,52242	-0,185299	2,52922	-4,20145	0,000135	3,79853
0,063103	2,53889	-0,214849	2,54797	-4,83702	0,000135	3,79853
0,050134	2,55879	-0,249659	2,57094	-5,57268	0,000141	3,79854
0,039809	2,58262	-0,291763	2,59905	-6,44547	0,000148	3,79855
0,031626	2,61168	-0,341165	2,63387	-7,44243	0,000153	3,79855
0,025116	2,6483	-0,398756	2,67815	-8,56275	0,000158	3,79856
0,019954	2,69135	-0,465652	2,73133	-9,816	0,000157	3,79856
