Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,847436	0,029261	0,847941	1,97758	-0,000319	3,99865
79433,6	0,860302	-0,001814	0,860304	-0,120822	-0,000273	3,99868
63105,5	0,873744	-0,028943	0,874223	-1,89727	-0,000171	3,99864
50123,7	0,889177	-0,051606	0,890673	-3,3216	-0,000161	3,99868
39811,2	0,905546	-0,07118	0,90834	-4,49447	-0,000097	3,99867
31634,1	0,923903	-0,087721	0,928058	-5,42373	-2,04E-05	3,99864
25123,7	0,942669	-0,102035	0,948175	-6,17767	-1,32E-05	3,99867
19954,4	0,96309	-0,114993	0,96993	-6,80885	-3,51E-07	3,99868
15852,9	0,98398	-0,126039	0,99202	-7,29932	8,54E-05	3,99862
12587,2	1,00566	-0,136512	1,01489	-7,73029	7,60E-05	3,99865
9998,2	1,02829	-0,146157	1,03862	-8,08963	9,31E-05	3,99864
7942,6	1,05182	-0,154908	1,06316	-8,37812	0,000113	3,99865
6311,1	1,07608	-0,163356	1,08841	-8,63201	0,00013	3,99865
5011,18	1,1013	-0,171663	1,1146	-8,8596	0,000143	3,99865
3980,93	1,12739	-0,179799	1,14163	-9,06141	0,000172	3,99864
3162,67	1,15459	-0,187797	1,16976	-9,23844	0,000184	3,99864
2511,16	1,18334	-0,196071	1,19947	-9,40807	0,000178	3,99865
1995,37	1,21262	-0,203909	1,22964	-9,5454	0,000188	3,99865
1584,49	1,24364	-0,211968	1,26157	-9,6727	0,000198	3,99865
1259,04	1,27515	-0,219736	1,29394	-9,7773	0,000207	3,99865
999,95	1,3085	-0,227217	1,32808	-9,851	0,00021	3,99865
794,163	1,34367	-0,235038	1,36407	-9,922	0,000214	3,99865
630,984	1,37868	-0,242336	1,39982	-9,9693	0,000218	3,99865
501,303	1,41571	-0,248111	1,43729	-9,9405	0,000222	3,99862
398,209	1,45369	-0,254791	1,47585	-9,9413	0,000226	3,99862
316,113	1,49196	-0,260794	1,51458	-9,9151	0,00023	3,99862
251,185	1,53078	-0,266907	1,55387	-9,8907	0,000231	3,99861
199,495	1,57051	-0,273137	1,59408	-9,866	0,000235	3,99861
158,533	1,61084	-0,279633	1,63493	-9,8481	0,000238	3,99861
125,911	1,65262	-0,286451	1,67726	-9,8334	0,000239	3,99861
100,009	1,69572	-0,293279	1,7209	-9,8124	0,000242	3,99862
79,4083	1,74056	-0,29976	1,76618	-9,7717	0,000245	3,99861
63,0971	1,7866	-0,30593	1,8126	-9,7169	0,000246	3,99861
50,0083	1,83473	-0,311145	1,86093	-9,625	0,000248	3,99861
40,0059	1,88218	-0,314757	1,90831	-9,49374	0,000252	3,99861
31,5793	1,93382	-0,318364	1,95985	-9,34872	0,000258	3,99862
24,9911	1,98764	-0,319768	2,0132	-9,13932	0,000253	3,99861
20,0011	2,04028	-0,317749	2,06487	-8,85203	0,000255	3,99862
15,7934	2,09727	-0,310971	2,1202	-8,43403	0,000257	3,99862
12,5002	2,15255	-0,297935	2,17307	-7,88028	0,000253	3,99861
9,9987	2,20171	-0,280369	2,21949	-7,25709	0,000254	3,99861
7,89389	2,24805	-0,257367	2,26274	-6,53105	0,000253	3,99861
6,31623	2,28546	-0,233502	2,29735	-5,8336	0,000259	3,99862
4,99748	2,31778	-0,208822	2,32717	-5,14819	0,000255	3,99862
3,97302	2,34311	-0,186294	2,3505	-4,54587	0,000252	3,99862
3,15718	2,36382	-0,16637	2,36967	-4,02593	0,000261	3,99862
2,51085	2,38324	-0,145866	2,3877	-3,50243	0,000224	3,99868
1,99489	2,39572	-0,134439	2,39949	-3,21185	0,000222	3,99866
1,58325	2,40829	-0,124579	2,41151	-2,96123	0,000223	3,99866
1,25729	2,41926	-0,118296	2,42215	-2,7994	0,000229	3,99865
1,00006	2,43103	-0,113689	2,43369	-2,67754	0,000335	3,99875
0,794599	2,44115	-0,113302	2,44378	-2,65737	0,000325	3,99874
0,631058	2,45113	-0,115115	2,45383	-2,68887	0,000325	3,99874
0,501187	2,46176	-0,119204	2,46464	-2,77224	0,000328	3,99874
0,398272	2,47318	-0,126487	2,47641	-2,92774	0,000331	3,99874
0,316296	2,48545	-0,135837	2,48916	-3,12826	0,000335	3,99875
0,251206	2,49818	-0,148811	2,5026	-3,40895	0,000339	3,99875
0,199461	2,51229	-0,165238	2,51772	-3,76303	0,000346	3,99873
0,158526	2,52851	-0,185246	2,53529	-4,19018	0,000341	3,99874
0,125872	2,54499	-0,210028	2,55364	-4,71771	0,000346	3,99874
0,099994	2,56507	-0,239484	2,57622	-5,33389	0,000346	3,99874
0,079449	2,58674	-0,275508	2,60137	-6,07953	0,000348	3,99873
0,063103	2,61268	-0,318826	2,63206	-6,95743	0,000347	3,99873
0,050134	2,64191	-0,369544	2,66763	-7,96274	0,000344	3,99874
0,039809	2,67594	-0,430378	2,71033	-9,13675	0,00034	3,99873
0,031626	2,71673	-0,502074	2,76274	-10,4706	0,000332	3,99873
0,025116	2,76478	-0,585903	2,82618	-11,9649	0,000328	3,99872
0,019954	2,8236	-0,685517	2,90562	-13,6463	0,000321	3,9987
